id,name,total_papers,avg_monthly,growth_pct,volatility,trend_linearity,yoy_2023,yoy_2024,acceleration,first_year_avg,last_year_avg
math.AC,Commutative Algebra,3544,73.8,28.6,17.3,0.549,9.8,0.9,-8.8,65.8,84.6
math.AG,Algebraic Geometry,13128,273.5,26.9,13.9,0.705,10.0,5.4,-4.6,241.7,306.6
math.AP,Analysis of PDEs,22146,461.4,23.0,11.6,0.723,5.1,10.2,5.1,415.8,511.2
math.AT,Algebraic Topology,4457,92.9,11.0,14.7,0.344,7.7,-1.9,-9.6,87.5,97.2
math.CA,Classical Analysis and ODEs,5510,114.8,10.0,13.1,0.323,1.3,7.3,6.0,109.3,120.2
math.CO,Combinatorics,22439,467.5,25.0,12.5,0.796,4.9,10.7,5.8,419.2,524.0
math.CT,Category Theory,3065,63.9,18.4,15.1,0.439,5.8,10.5,4.7,57.9,68.6
math.CV,Complex Variables,4472,93.2,18.7,15.5,0.543,-0.2,10.1,10.3,87.0,103.2
math.DG,Differential Geometry,10632,221.5,25.0,13.7,0.683,5.4,8.0,2.6,199.4,249.2
math.DS,Dynamical Systems,11863,247.1,19.4,13.2,0.57,10.1,8.0,-2.1,220.5,263.2
math.FA,Functional Analysis,9307,193.9,17.6,13.0,0.533,-3.6,15.1,18.6,182.5,214.6
math.GM,General Mathematics,1267,26.4,53.1,37.7,0.393,16.5,10.8,-5.7,21.2,32.4
math.GN,General Topology,1479,30.8,3.8,24.9,0.137,-5.1,6.6,11.7,30.8,32.0
math.GR,Group Theory,6426,133.9,19.7,13.8,0.564,2.6,10.2,7.7,123.0,147.2
math.GT,Geometric Topology,5639,117.5,22.1,15.5,0.557,9.0,1.9,-7.1,106.2,129.8
math.HO,History and Overview,1120,23.3,23.8,25.9,0.243,8.8,-9.9,-18.7,21.7,26.8
math.IT,Information Theory,14727,306.8,7.0,16.3,0.107,0.9,4.3,3.4,297.1,317.8
math.KT,K-Theory and Homology,1367,28.5,15.1,22.1,0.315,1.6,12.7,11.2,26.4,30.4
math.LO,Logic,4173,86.9,33.0,16.7,0.631,18.6,7.1,-11.5,72.7,96.7
math.MG,Metric Geometry,3372,70.2,17.1,14.1,0.495,-0.9,8.9,9.8,66.2,77.6
math.MP,Mathematical Physics,19188,399.8,25.3,13.9,0.732,9.2,8.8,-0.4,352.7,441.8
math.NA,Numerical Analysis,18058,376.2,28.9,13.5,0.716,11.2,10.5,-0.7,325.0,418.8
math.NT,Number Theory,13169,274.4,24.6,13.2,0.69,2.6,9.9,7.3,249.4,310.7
math.OA,Operator Algebras,2855,59.5,33.1,16.2,0.702,12.8,8.3,-4.5,50.8,67.7
math.OC,Optimization and Control,23878,497.5,27.3,14.5,0.623,7.1,9.4,2.4,440.8,560.9
math.PR,Probability,17403,362.6,26.5,13.7,0.734,2.1,11.2,9.2,328.0,414.9
math.QA,Quantum Algebra,3490,72.7,28.4,16.4,0.642,12.9,5.5,-7.4,63.2,81.1
math.RA,Rings and Algebras,4992,104.0,23.6,15.8,0.581,-0.2,12.3,12.5,95.5,118.1
math.RT,Representation Theory,7331,152.7,29.6,15.6,0.689,10.7,6.7,-4.0,133.2,172.8
math.SG,Symplectic Geometry,2108,43.9,14.5,20.4,0.378,5.6,10.2,4.6,40.2,46.1
math.SP,Spectral Theory,2584,53.8,33.4,19.2,0.575,7.5,9.9,2.5,46.9,62.6
math.ST,Statistics Theory,8524,177.6,26.7,18.8,0.532,-0.2,11.8,12.0,162.1,205.4
