id,name,total_papers,avg_monthly,growth_pct,volatility,trend_linearity,yoy_2023,yoy_2024,acceleration,first_year_avg,last_year_avg
astro-ph.CO,Cosmology and Nongalactic Astrophysics,17952,374.0,29.6,16.4,0.683,4.5,9.8,5.3,333.3,431.8
astro-ph.EP,Earth and Planetary Astrophysics,11175,232.8,21.0,15.2,0.487,5.0,5.5,0.5,213.2,257.9
astro-ph.GA,Astrophysics of Galaxies,24558,511.6,28.4,14.9,0.673,4.6,6.4,1.8,460.8,591.5
astro-ph.HE,High Energy Astrophysical Phenomena,21096,439.5,32.4,16.8,0.634,12.8,0.2,-12.6,383.6,507.8
astro-ph.IM,Instrumentation and Methods for Astrophysics,12207,254.3,29.0,21.5,0.554,2.2,7.4,5.1,230.7,297.5
astro-ph.SR,Solar and Stellar Astrophysics,17831,371.5,18.3,13.0,0.509,1.6,5.0,3.4,348.3,412.0
cond-mat.dis-nn,Disordered Systems and Neural Networks,5337,111.2,17.8,15.0,0.456,7.4,3.9,-3.5,101.8,120.0
cond-mat.mes-hall,Mesoscale and Nanoscale Physics,21967,457.6,14.2,9.8,0.544,7.9,4.4,-3.5,421.1,480.8
cond-mat.mtrl-sci,Materials Science,30048,626.0,36.1,14.1,0.814,9.0,7.3,-1.6,542.0,737.6
cond-mat.other,Other Condensed Matter,2559,53.3,29.0,20.8,0.486,-8.0,7.1,15.2,50.8,65.6
cond-mat.quant-gas,Quantum Gases,5911,123.1,6.6,12.0,0.325,1.2,6.3,5.1,118.6,126.4
cond-mat.soft,Soft Condensed Matter,10055,209.5,24.5,13.7,0.616,4.5,10.1,5.6,188.8,234.9
cond-mat.stat-mech,Statistical Mechanics,15322,319.2,13.4,12.2,0.463,5.9,4.3,-1.7,297.1,337.0
cond-mat.str-el,Strongly Correlated Electrons,17544,365.5,17.4,12.4,0.528,7.0,0.3,-6.6,338.7,397.7
cond-mat.supr-con,Superconductivity,8093,168.6,18.1,14.1,0.416,13.4,-5.3,-18.7,153.7,181.4
gr-qc,General Relativity and Quantum Cosmology,27048,563.5,24.3,12.9,0.709,7.2,4.7,-2.4,507.9,631.6
hep-ex,High Energy Physics - Experiment,12635,263.2,3.7,17.1,0.181,-12.3,5.8,18.1,274.1,284.2
hep-lat,High Energy Physics - Lattice,4589,95.6,5.9,30.9,0.165,-8.6,13.5,22.0,95.3,101.0
hep-ph,High Energy Physics - Phenomenology,31259,651.2,9.4,13.3,0.421,-3.8,6.4,10.2,638.5,698.3
hep-th,High Energy Physics - Theory,30426,633.9,14.2,14.5,0.515,1.8,7.0,5.2,596.9,681.5
math-ph,Mathematical Physics,19188,399.8,25.3,13.9,0.732,9.2,8.8,-0.4,352.7,441.8
nlin.AO,Adaptation and Self-Organizing Systems,1803,37.6,28.7,22.4,0.371,7.6,-0.9,-8.5,33.9,43.7
nlin.CD,Chaotic Dynamics,2689,56.0,30.2,18.0,0.608,5.8,13.3,7.5,49.2,64.0
nlin.CG,Cellular Automata and Lattice Gases,210,7.2,-4.6,27.8,0.053,103.8,3.8,-100.1,7.2,6.9
nlin.PS,Pattern Formation and Solitons,2138,44.5,0.7,16.9,0.124,-5.4,9.5,14.9,44.7,45.0
nlin.SI,Exactly Solvable and Integrable Systems,1972,41.1,11.7,17.7,0.314,3.9,7.9,4.0,38.4,42.9
nucl-ex,Nuclear Experiment,5376,112.0,6.4,15.0,0.209,-5.0,-3.4,1.6,113.9,121.2
nucl-th,Nuclear Theory,10263,213.8,20.6,12.8,0.635,6.4,6.5,0.1,194.2,234.3
physics.acc-ph,Accelerator Physics,2118,44.1,0.2,33.2,0.015,-14.8,-3.5,11.3,48.0,48.1
physics.ao-ph,Atmospheric and Oceanic Physics,3047,63.5,56.6,28.2,0.698,21.5,28.0,6.4,47.6,74.5
physics.app-ph,Applied Physics,10545,219.7,20.9,13.5,0.529,16.1,10.0,-6.1,189.1,228.6
physics.atm-clus,Atomic and Molecular Clusters,563,12.0,-5.8,28.7,-0.022,-17.3,1.6,18.9,13.0,12.2
physics.atom-ph,Atomic Physics,5387,112.2,23.0,12.5,0.606,6.3,3.3,-3.0,102.2,125.8
physics.bio-ph,Biological Physics,4574,95.3,28.3,18.8,0.492,8.5,11.5,3.0,83.2,106.8
physics.chem-ph,Chemical Physics,9126,190.1,29.5,15.6,0.706,6.3,18.0,11.7,164.9,213.6
physics.class-ph,Classical Physics,1832,38.2,2.6,17.5,0.092,-4.3,4.5,8.9,38.3,39.3
physics.comp-ph,Computational Physics,9616,200.3,51.0,20.7,0.8,3.6,14.5,10.9,169.3,255.7
physics.data-an,"Data Analysis, Statistics and Probability",2937,61.2,11.9,15.5,0.256,3.1,-0.4,-3.5,58.6,65.6
physics.ed-ph,Physics Education,1276,26.6,64.8,30.1,0.589,23.8,8.6,-15.2,20.3,33.5
physics.flu-dyn,Fluid Dynamics,11532,240.2,19.3,13.8,0.387,17.7,-10.2,-27.8,217.1,259.1
physics.gen-ph,General Physics,1042,22.2,0.4,38.5,-0.053,-6.3,-5.2,1.2,23.7,23.8
physics.geo-ph,Geophysics,2913,60.7,25.6,16.6,0.513,8.7,8.0,-0.7,53.8,67.5
physics.hist-ph,History and Philosophy of Physics,1335,27.8,11.1,26.7,0.127,-1.5,2.8,4.4,27.1,30.1
physics.ins-det,Instrumentation and Detectors,6670,139.0,6.4,16.1,0.149,-10.4,0.8,11.2,143.9,153.1
physics.med-ph,Medical Physics,3584,74.7,49.2,21.6,0.741,12.2,16.0,3.8,60.8,90.7
physics.optics,Optics,17966,374.3,30.2,14.5,0.753,5.4,10.9,5.5,330.8,430.6
physics.plasm-ph,Plasma Physics,5860,122.1,34.3,15.5,0.734,12.7,11.8,-0.9,103.2,138.7
physics.pop-ph,Popular Physics,496,10.8,-5.3,36.1,-0.137,2.3,0.7,-1.5,10.9,10.3
