id,name,total_papers,avg_monthly,growth_pct,volatility,trend_linearity,yoy_2023,yoy_2024,acceleration,first_year_avg,last_year_avg
q-bio.BM,Biomolecules,2155,44.9,64.6,29.9,0.665,30.3,40.3,10.0,31.1,51.2
q-bio.CB,Cell Behavior,525,10.9,63.6,34.1,0.489,21.2,20.0,-1.2,8.2,13.5
q-bio.GN,Genomics,1075,22.4,85.7,35.9,0.693,25.9,24.8,-1.1,15.8,29.2
q-bio.MN,Molecular Networks,798,16.6,48.8,26.5,0.488,20.4,2.6,-17.8,13.5,20.1
q-bio.NC,Neurons and Cognition,4327,90.1,62.7,26.9,0.769,8.4,22.3,14.0,71.6,116.5
q-bio.OT,Other Quantitative Biology,448,10.7,126.3,42.1,0.722,83.7,42.2,-41.5,6.7,15.1
q-bio.PE,Populations and Evolution,2985,62.2,22.0,17.5,0.442,5.6,4.3,-1.3,56.8,69.3
q-bio.QM,Quantitative Methods,4776,99.5,52.6,21.4,0.793,11.5,16.0,4.6,80.7,123.1
q-bio.SC,Subcellular Processes,172,6.4,-3.8,21.0,0.1,139.1,-34.5,-173.7,6.5,6.2
q-bio.TO,Tissues and Organs,725,15.4,37.3,31.5,0.33,50.7,-9.4,-60.2,12.5,17.2
